taxonID	identifier	title	format	datasetID	subject
urn:lsid:marinespecies.org:taxname:1327	NCBI:txid5776	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1328	NCBI:txid136457	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1329	NCBI:txid200887	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1330	NCBI:txid33677	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1337	NCBI:txid6074	To GenBank (0 nucleotides; 6 proteins)		ncbi	
urn:lsid:marinespecies.org:taxname:1340	NCBI:txid6102	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1341	NCBI:txid6132	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1348	NCBI:txid33829	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1349	NCBI:txid6933	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1358	NCBI:txid373319	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1360	NCBI:txid6103	To GenBank (0 nucleotides; 1 proteins)		ncbi	
urn:lsid:marinespecies.org:taxname:1361	NCBI:txid37512	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1362	NCBI:txid44295	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1363	NCBI:txid6125	To GenBank (15 nucleotides; 0 proteins)		ncbi	
urn:lsid:marinespecies.org:taxname:1365	NCBI:txid6132	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1366	NCBI:txid6132	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1367	NCBI:txid6133	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1370	NCBI:txid128122	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1371	NCBI:txid42759	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1376	NCBI:txid1301569	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1376	NCBI:txid3577	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1385	NCBI:txid792580	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1395	NCBI:txid1170549	To Genbank		ncbi	
urn:lsid:marinespecies.org:taxname:1403	NCBI:txid5957	To Genbank		ncbi	
