Family,ScientificName,ScientificNameAuthorship,CommonName,Notes,TaxonId
AMPHARETIDAE,"Ampharete californica","(Hilbig, 2000)",,,237910
AMPHARETIDAE,"Ampharete cornuta","(Hilbig, 2000)",,,237912
AMPHARETIDAE,"Ampharete finmarchica",,,,86922
AMPHARETIDAE,"Ampharete goesi",,,,86915
AMPHARETIDAE,"Ampharete labrops",,,,86923
AMPHARETIDAE,"Amphicteis glabra",,,,86926
AMPHARETIDAE,"Amphicteis gunneri","(Sars, 1835)",,,86927
AMPHARETIDAE,"Amphicteis mucronata","Moore, 1923",,,115861
AMPHARETIDAE,"Amphicteis scaphobranchiata",,,,86928
AMPHARETIDAE,"Amphisamytha bioculata",,,,86972
AMPHARETIDAE,"Amphisamytha galapagensis","Zottoli, 1983",,,123495
AMPHARETIDAE,"Anobothrus gracilis",(Malmgren),,,86952
AMPHARETIDAE,"Anobothrus paleatus","Hilbig, 2000",,,236659
AMPHARETIDAE,"Asabellides lineata",,,,86962
AMPHARETIDAE,"Glyphanostomum pallescens","(Theel, 1879)",,,86963
AMPHARETIDAE,"Grassleia hydrothermalis","Solis-Weiss, 1993",,,258221
AMPHARETIDAE,"Lysippe annectens",,,,86938
AMPHARETIDAE,"Melinna cristata","(Sars, 1851)",,,86939
AMPHARETIDAE,"Melinna denticulata",,,,86940
AMPHARETIDAE,"Melinna elisabethae",,,,86941
AMPHARETIDAE,"Melinna heterodonta",,,,86943
AMPHARETIDAE,"Melinna oculata",,,,86944
AMPHARETIDAE,"Melinnampharete gracilis",,,,86989
AMPHARETIDAE,"Phyllocomus hiltoni","(Chamberlin, 1919)",,,157383
AMPHARETIDAE,"Samytha californiensis",,,,86968
AMPHARETIDAE,"Samytha sexcirrata",(Sars),,,86967
AMPHARETIDAE,"Schistocomus hiltoni",,,,86979
AMPHILEPIDIDAE,"Amphilepis platytata",,,,26214
AMPHILOCHIDAE,"Amphilochus litoralis","Stout, 1912",,,58710
AMPHILOCHIDAE,"Amphilochus neapolitanus","Della Valle, 1893",,,58709
AMPHILOCHIDAE,"Amphilochus picadurus","J. L. Barnard, 1962",,,58714
AMPHILOCHIDAE,"Gitana calitemplado","J. L. Barnard, 1962",,,50398
AMPHILOCHIDAE,"Gitanopsis vilordes","J. L. Barnard, 1962",,,58719
AMPHIMENIIDAE,"Alexandromenia valida","Heath, 1911",,,115775
AMPHIMENIIDAE,"Pachymenia abyssorum","Heath, 1911",,,162236
AMPHINOMIDAE,"Archinome rosacea","(Blake, 1985)",,,124196
AMPHINOMIDAE,"Chloeia pinnata",,,,84983
AMPHINOMIDAE,"Eurythoe complanata","(Pallas, 1766)",,,85007
AMPHINOMIDAE,"Pareurythoe californica",,,,85002
AMPHIPORIDAE,"Amphiporus bimaculatus","Coe, 1901",,,123459
AMPHIPORIDAE,"Amphiporus californicus","Coe, 1905",,,123461
AMPHIPORIDAE,"Amphiporus cruentatus","Verrill, 1879",,,123462
AMPHIPORIDAE,"Amphiporus flavescens","Coe, 1905",,,123464
AMPHIPORIDAE,"Amphiporus imparispinosus","Griffin, 1898",,,123467
AMPHIPORIDAE,"Amphiporus leuciodus","Coe, 1901",,,123468
AMPHITHYRIDAE,"Paralycaea hoylei","Stebbing, 1888",,,255454
AMPHITRETIDAE,"Japetella diaphana","Hoyle, 1885",,,23856
AMPHITRETIDAE,"Japetella heathi","(Berry, 1911)",,,23857
AMPHIURIDAE,"Amphichondrius granulatus","(Lütken & Mortensen, 1899)",,,175348
AMPHIURIDAE,"Amphiodia akosmos","Hendler & Bundrick, 2001",,,115880
AMPHIURIDAE,"Amphiodia digitata","Nielsen, 1932",,,26254
AMPHIURIDAE,"Amphiodia euryaspis",,,,26241
AMPHIURIDAE,"Amphiodia occidentalis","(Lyman, 1860)",,,26276
AMPHIURIDAE,"Amphiodia peloria","Bush, 1921",,,26258
AMPHIURIDAE,"Amphiodia periercta","H. L. Clark, 1911",,,26250
AMPHIURIDAE,"Amphiodia psara","H. L. Clark, 1935",,,26256
AMPHIURIDAE,"Amphiodia rugosa",,,,235879
AMPHIURIDAE,"Amphiodia urtica","(Lyman, 1860)",,,26244
AMPHIURIDAE,"Amphioplus daleus","Lyman, 1879",,,123446
AMPHIURIDAE,"Amphioplus hexacanthus","(H. L. Clark, 1911)",,,26298
AMPHIURIDAE,"Amphioplus strongyloplax","(H. L. Clark, 1911)",,,26300
AMPHIURIDAE,"Amphipholis pugetana","(Lyman, 1860)",,,26266
AMPHIURIDAE,"Amphipholis squamata","(Delle Chiaje, 1828)",,,26268
AMPHIURIDAE,"Amphipholizona perplexa","(Nielsen, 1932)",,,235820
AMPHIURIDAE,"Amphiura acrystata","H. L. Clark, 1911",,,26321
AMPHIURIDAE,"Amphiura arcystata","H.L. Clark, 1911",,,115902
AMPHIURIDAE,"Amphiura carchara","H. L. Clark, 1911",,,26308
AMPHIURIDAE,"Amphiura diomedeae","Lütken and Mortensen, 1899",,,26330
AMPHIURIDAE,"Amphiura polyacantha","Lütken and Mortensen, 1899",,,26331
AMPHIURIDAE,"Amphiura seminuda","Lütken and Mortensen, 1899",,,26327
AMPHIURIDAE,"Amphiura serpentina","Lütken and Mortensen, 1899",,,26332
AMPHIURIDAE,"Dougaloplus amphacanthus","(McClendon, 1909)",,,257110
AMPHIURIDAE,"Dougaloplus gastracanthus","(Lütken & Mortensen, 1899)",,,236051
AMPHIURIDAE,"Dougalopus amphacantha","(Mcclendon, 1909)",,,26357
