"MN217396.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Potamonautidae;Buea;NA"
"MH516186.1_representative_of_2_identical_accessions"	"NA;Chordata;Amphibia;Anura;Strabomantidae;Pristimantis;NA"
"JQ362838.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Insecta;Hemiptera;Mesoveliidae;Mesovelia;NA"
"KP098538.1_representative_of_2_identical_accessions"	"NA;Mollusca;Gastropoda;NA;Lymnaeidae;NA;NA"
"MN473526.1_representative_of_2_identical_accessions"	"NA;Chordata;Actinopteri;Acanthuriformes;Acanthuridae;Acanthurus;NA"
"MN473554.1_representative_of_2_identical_accessions"	"NA;Chordata;Actinopteri;Carangiformes;Carangidae;Turrum;NA"
"MN473704.1_representative_of_2_identical_accessions"	"NA;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Lutjanus;NA"
"NC_014886.1_representative_of_2_identical_accessions"	"NA;Porifera;Homoscleromorpha;Homosclerophorida;Oscarellidae;Oscarella;NA"
"MN473641.1_representative_of_2_identical_accessions"	"NA;Chordata;Actinopteri;Chaetodontiformes;Leiognathidae;NA;NA"
"OR508732.1_representative_of_2_identical_accessions"	"NA;Chordata;Chondrichthyes;Rhinopristiformes;Rhinobatidae;Acroteriobatus;NA"
"MN473520.1_representative_of_2_identical_accessions"	"NA;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;NA"
"MN473517.1_representative_of_2_identical_accessions"	"NA;Chordata;Actinopteri;NA;Pomacentridae;Abudefduf;NA"
"MT539133.1_representative_of_2_identical_accessions"	"NA;Chordata;Mammalia;Chiroptera;Vespertilionidae;Pipistrellus;NA"
"LC430738.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Pilumnidae;NA;NA"
"MG136727.1_representative_of_4_identical_accessions"	"NA;Cnidaria;Hydrozoa;Anthoathecata;Pandeidae;Catablema;NA"
"KC961656.1_representative_of_2_identical_accessions"	"NA;Porifera;Demospongiae;Poecilosclerida;Mycalidae;Mycale;NA"
"KJ829628.1_representative_of_8_identical_accessions"	"NA;Arthropoda;Insecta;Hymenoptera;Vespidae;Synoeca;NA"
"KJ829633.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Insecta;Hymenoptera;Vespidae;Synoeca;NA"
"KJ829626.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Insecta;Hymenoptera;Vespidae;Synoeca;NA"
"GU596673.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Insecta;Hymenoptera;Vespidae;NA;NA"
"MF135128.1_representative_of_3_identical_accessions"	"NA;Arthropoda;Insecta;Hymenoptera;Vespidae;NA;NA"
"MZ457632.1_representative_of_3_identical_accessions"	"NA;Cnidaria;Hydrozoa;Anthoathecata;Zancleopsidae;Zancleopsis;NA"
"KF806842.1_representative_of_4_identical_accessions"	"NA;Arthropoda;Insecta;Coleoptera;Lycidae;Lycus;NA"
"OK534147.1_representative_of_4_identical_accessions"	"NA;Mollusca;Gastropoda;Trochida;Solariellidae;Ilanga;NA"
"LT606955.1_representative_of_4_identical_accessions"	"NA;Cnidaria;Hydrozoa;Anthoathecata;Oceaniidae;Turritopsoides;NA"
"KY363961.1_representative_of_11_identical_accessions"	"NA;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;NA;NA"
"KY675068.1_representative_of_21_identical_accessions"	"NA;Mollusca;Gastropoda;NA;Semisulcospiridae;Semisulcospira;NA"
"KU170933.1_representative_of_5_identical_accessions"	"NA;Mollusca;Gastropoda;Littorinimorpha;Hydrobiidae;NA;NA"
"KU170921.1_representative_of_4_identical_accessions"	"NA;Mollusca;Gastropoda;Littorinimorpha;Hydrobiidae;NA;NA"
"KU170908.1_representative_of_8_identical_accessions"	"NA;Mollusca;Gastropoda;Littorinimorpha;Hydrobiidae;NA;NA"
"KU170909.1_representative_of_6_identical_accessions"	"NA;Mollusca;Gastropoda;Littorinimorpha;Hydrobiidae;NA;NA"
"HQ667658.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Insecta;Hemiptera;Miridae;NA;NA"
"MG719387.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Insecta;Blattodea;Rhinotermitidae;Heterotermes;NA"
"ON312323.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Palaemonidae;NA;NA"
"MZ329347.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;NA"
"KJ595196.1_representative_of_2_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;NA"
"OR046566.1_representative_of_3_identical_accessions"	"NA;Arthropoda;Malacostraca;Decapoda;Alpheidae;Synalpheus;NA"
